file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
djv_prodShadow1_bola2,0.0,1.0428344671201815,djv,-52.21516301081731,-55.575735092163086,1.138941931740467,19.72696762298306
blr_prodShadow1_apa1,0.0,0.8489115646258504,blr,-50.90863396139706,-53.67923355102539,1.1389414660405597,14.31257677383524
djv_prodShadow1_gota1,0.0,0.867,djv,-56.74458400682471,-61.42051029205322,1.1389414660405597,17.172672201214866
djv_prodShadow1_uta1,0.0,0.911,djv,-53.29238925137363,-61.23823547363281,1.1389414660405597,16.9096909720634
mav_prodShadow1_ada,0.0,0.72,mav,-49.99391343858507,-50.24217732747396,1.138941233190606,13.24590569596944
blr_prodShadow1_gota1,0.0,0.8925396825396825,blr,-55.71937543890449,-60.35849666595459,1.1389410003406522,11.894324855139397
ems_prodShadow1_eda1,0.0,0.7475963718820862,ems,-53.14587565104166,-61.98212432861328,1.1389410003406522,14.62943616399012
djv_prodShadow1_baka1,0.0,1.0136054421768708,djv,-51.1925375154703,-56.90293502807617,1.1389410003406522,16.709337714974858
djv_prodShadow1_eda2,0.0,1.04281179138322,djv,-50.72421499399039,-47.45020421346029,1.1389410003406522,19.06281965071298
blr_prodShadow1_ita,0.0,0.878,blr,-50.89373779296875,-55.395215352376304,1.1389410003406522,11.91956879100345
djv_prodShadow1_bola1,0.0,1.0136054421768708,djv,-50.91847153465346,-56.49396800994873,1.1389410003406522,19.645367938108723
mav_prodShadow1_ita2,0.0,0.840702947845805,mav,-46.888131277901785,-51.927528381347656,1.1389410003406522,11.726646897069223
ems_prodShadow1_eda,0.0,1.0877097505668933,ems,-50.39673971473624,-59.17964426676432,1.1389410003406522,13.210753320059467
blr_prodShadow1_kaka,0.0,0.747,blr,-50.36533854166667,-53.57963848114014,1.1389410003406522,12.086585528993464
mam_prodShadow1_oba2,0.0,0.72,mam,-55.439856635199654,-57.491835276285805,1.133260833899313,13.68292419984446
jkw_prodShadow1_oba1,0.0,1.0476643990929706,jkw,-54.12105189732143,-63.915261586507164,1.133260833899313,14.361030330107459
jmt_prodShadow1_oba,0.0,0.82,jmt,-47.64621641577744,-54.73350143432617,1.1332605448225206,14.403278589444385
djv_prodShadow1_paka,0.0,0.9259410430839002,djv,-47.566059727822584,-54.8894739151001,1.085330026534148,16.9639593774754
blr_prodShadow1_paka,0.0,0.936,blr,-49.56212080285904,-53.66734981536865,1.085330026534148,13.304575392959554
mam_prodShadow1_paka,0.0,0.67,mam,-58.39804395988806,-57.962090492248535,1.0853298468377346,14.301206330195445
jkw_prodShadow1_epa1,0.0,1.0877097505668933,jkw,-51.74040012184633,-59.43865966796875,1.0716269792211874,15.585794752336888
jal_prodShadow1_epa,0.0,1.017,jal,-48.878743489583336,-53.85455830891927,1.0716264570910976,15.130262398615615
djv_prodShadow1_epa,0.0,0.911,djv,-51.88027987637363,-53.514391581217446,1.0716264570910976,12.877890153757475
jmt_prodShadow1_epa1,0.0,1.0076190476190476,jmt,-49.12231203589109,-53.65043385823568,1.0716264570910976,15.25300166815112
bco_prodShadow1_epa,0.0,0.42560090702947845,bco,-52.5340093568314,-51.52577209472656,1.071626424457967,19.3476045505776
jal_prodShadow1_epa1,0.0,0.959,jal,-44.734222412109375,-53.500911712646484,1.071626326558575,15.78220375850243
jkw_prodShadow1_oka2,0.0,0.911,jkw,-49.76275970123626,-52.612143198649086,1.0531428429450014,14.571234105843773
blr_prodShadow1_taka,0.0,0.9797959183673469,blr,-48.02754304846939,-56.032166481018066,1.0531428429450014,7.929925009388597
blr_prodShadow1_paka2,0.0,0.878,blr,-52.35501930930398,-54.46194362640381,1.0531418183720256,7.7589650567892505
ems_prodShadow1_gaka2,0.0,1.0687981859410431,ems,-53.24244761244159,-60.46961975097656,1.0531418183720256,11.295841754155637
djv_prodShadow1_kaka1,0.0,1.028,djv,-49.05023134101942,-56.08510398864746,1.0487406642227437,16.788584588310634
mam_prodShadow1_gaka2,0.0,0.92,mam,-54.03182319972826,-61.65962219238281,1.0487406642227437,14.598443469260783
jkw_prodShadow1_bala1,0.0,0.9675963718820861,jkw,-50.781456386920105,-52.08600330352783,1.0487406642227437,14.81922588941168
mav_prodShadow1_bala1,0.0,0.87,mav,-43.67814408225575,-43.68562030792236,1.0487406642227437,16.493107600812408
