file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
djv_prodShadow3_baka2,0.0,1.093922902494331,djv,-49.23825885177752,-54.6895170211792,2.0020789889751764,17.052611086264953
ems_prodShadow3_bola1,0.0,1.0719954648526078,ems,-51.27425890771028,-54.059587478637695,1.9976346492988537,13.60873550126544
jal_prodShadow3_bala1,0.0,0.962,jal,-52.3056386311849,-56.033223152160645,1.9976346492988537,10.636814188087625
jmt_prodShadow3_ita1,0.0,0.8747619047619047,jmt,-54.9182998832615,-51.81322733561198,1.9522816494484134,10.154728704721814
blr_prodShadow3_ada,0.0,1.05,blr,-46.90899832589286,-50.95047505696615,1.9383536790985911,19.09353069814084
lmw_prodShadow3_bala2,0.0,1.2035147392290249,lmw,-44.39561360677083,-44.650986671447754,1.9383536790985911,14.771127959659662
blr_prodShadow3_oba2,0.0,0.9185941043083901,blr,-50.64779530400815,-58.21218236287435,1.9383536790985911,19.701346213983072
lmw_prodShadow3_ita,0.0,1.4226757369614513,lmw,-50.114773602552816,-51.18101501464844,1.9383526824946522,12.305878923040904
jmt_prodShadow3_paka2,0.0,0.8309297052154195,jmt,-47.72003541509789,-49.918684005737305,1.9278536497718075,6.125397906072845
mav_prodShadow3_paka1,0.0,0.8747619047619047,mav,-53.55303183369253,-53.881773948669434,1.9278536497718075,8.594918782647166
djv_prodShadow3_ada2,0.0,1.291,djv,-50.70756116763566,-45.47642517089844,1.8907446749883667,16.643409709968303
blr_prodShadow3_ada2,0.0,0.94,blr,-49.3435681931516,-49.7420285542806,1.8907446749883667,19.095588052634298
jal_prodShadow3_oba2,0.0,0.787,jal,-54.99944991099684,-65.01346079508464,1.835117212574942,10.834347342577761
jal_prodShadow3_gaka2,0.0,0.9405215419501134,jal,-47.6037909325133,-54.06686305999756,1.8346590255985018,12.603648510652068
lmw_prodShadow3_oka1,0.0,0.94,lmw,-51.78557700299202,-52.464927673339844,1.83465694662235,13.49825370873518
jmt_prodShadow3_bola2,0.0,0.938,jmt,-45.287057430186174,-47.57683086395264,1.8276222330339096,12.988396750092516
ems_prodShadow3_bala,0.0,1.006,ems,-49.007556273205445,-49.7568883895874,1.8276222330339096,12.93326271034429
jmt_prodShadow3_bala2,0.0,1.072,jmt,-45.22108644859813,-42.01406955718994,1.8276222330339096,14.255934792282888
bco_prodShadow3_bola2,0.0,1.4226984126984128,bco,-55.42356335277289,-58.3427734375,1.8268829066861452,11.948992130085012
mav_prodShadow3_bola,0.0,1.028,mav,-48.51270953428398,-48.33859062194824,1.8268822585273066,11.927680414432666
jal_prodShadow3_bola1,0.0,0.962,jal,-55.22296142578125,-58.35508155822754,1.8268822585273066,11.838239589242763
